year	plot	sun_time	sun_date	warm_time	warm_date	snow	sun_date_normal_mean	melt_offset
2018	1	2018-04-29T21:00:00Z	119	2018-04-29T17:00:00Z	119	Normal	119	0
2018	2	2018-04-24T21:00:00Z	114	2018-04-25T05:00:00Z	114	Early	119	-5
2018	3	2018-04-29T18:00:00Z	119	2018-04-28T22:00:00Z	118	Normal	119	0
2018	5	2018-04-24T19:00:00Z	114	2018-04-24T19:00:00Z	114	Early	119	-5
2018	6	2018-04-29T19:00:00Z	119	2018-04-29T19:00:00Z	119	Normal	119	0
2019	1	2019-06-06T17:00:00Z	157	2019-06-06T15:00:00Z	157	Normal	157.75	-0.75
2019	2	2019-06-09T15:00:00Z	160	2019-06-08T20:00:00Z	159	Normal	157.75	2.25
2019	3	2019-06-07T14:00:00Z	158	2019-06-06T19:00:00Z	157	Normal	157.75	0.25
2019	4	2019-05-27T22:00:00Z	147	2019-05-26T18:00:00Z	146	Early	157.75	-10.75
2019	5	2019-06-04T15:00:00Z	155	2019-06-03T17:00:00Z	154	Early	157.75	-2.75
2019	6	2019-06-05T19:00:00Z	156	2019-06-05T17:00:00Z	156	Normal	157.75	-1.75
2020	1	2020-05-04T15:00:00Z	125	2020-05-02T18:00:00Z	123	Normal	125.66666666666667	-0.6666666666666714
2020	2	2020-04-29T17:00:00Z	120	2020-04-28T19:00:00Z	119	Early	125.66666666666667	-5.666666666666671
2020	3	2020-05-04T21:00:00Z	125	2020-05-04T15:00:00Z	125	Normal	125.66666666666667	-0.6666666666666714
2020	4	2020-04-30T19:00:00Z	121	2020-04-28T18:00:00Z	119	Early	125.66666666666667	-4.666666666666671
2020	5	2020-04-28T20:00:00Z	119	2020-04-28T17:00:00Z	119	Early	125.66666666666667	-6.666666666666671
2020	6	2020-05-06T18:00:00Z	127	2020-05-05T19:00:00Z	126	Normal	125.66666666666667	1.3333333333333286
2018	4	NA	114	NA	114	Early	119	-5
